Player Sum,2,3,4,5,6,7,8,9,10,A
20,H,H,S,H,S,H,S,H,S,H
19,S,S,H,S,H,H,S,S,H,S
18,S,S,H,H,H,S,S,H,S,H
17,S,H,H,S,S,S,H,S,H,H
16,H,S,H,H,H,H,H,H,H,S
15,H,H,S,S,S,H,H,H,S,H
14,S,S,H,S,H,H,H,H,H,H
13,H,H,S,S,H,H,H,H,S,H
12,S,H,H,H,S,H,H,S,H,H
