Player Sum,2,3,4,5,6,7,8,9,10,A
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,H,S,S,S
16,S,S,S,S,S,S,H,S,H,H
15,S,S,S,S,S,H,H,H,H,H
14,S,S,H,S,S,H,H,H,S,H
13,S,S,S,S,S,H,H,S,H,H
12,H,S,H,H,H,H,H,H,H,H
