Player Sum,2,3,4,5,6,7,8,9,10,A
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,H,S,S,S,S,S,S
17,H,H,S,S,H,S,H,S,S,H
16,S,S,H,H,S,S,S,S,H,H
15,H,H,H,S,S,H,H,S,H,H
14,H,H,H,H,H,H,H,H,H,S
13,H,H,S,S,S,S,H,H,H,H
12,H,H,H,H,H,H,H,H,H,H
