Player Sum,2,3,4,5,6,7,8,9,10,A
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
17,H,S,S,S,S,S,S,S,S,S
16,S,S,S,S,S,H,H,S,S,S
15,S,S,S,S,S,S,S,S,S,S
14,S,S,H,S,S,S,S,S,S,S
13,S,S,S,S,S,S,S,S,S,S
12,S,S,S,S,S,S,S,S,S,S
