Player Sum,2,3,4,5,6,7,8,9,10,A
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,H
18,S,S,S,S,S,S,S,H,S,S
17,S,S,S,S,H,S,H,S,S,H
16,H,S,S,S,S,S,H,S,S,H
15,S,S,S,S,S,H,H,H,H,S
14,S,S,S,S,S,H,H,H,H,H
13,H,S,S,H,H,H,S,S,S,H
12,S,H,S,H,H,H,H,S,H,H
