Player Sum,2,3,4,5,6,7,8,9,10,A
20,S,S,S,S,S,S,S,S,S,S
19,H,H,H,S,H,S,S,S,S,H
18,S,S,H,H,S,S,S,H,H,H
17,H,S,H,S,S,H,H,H,H,H
16,H,H,H,H,H,H,H,H,H,H
15,H,H,H,H,H,H,H,S,H,H
14,H,H,H,H,H,H,H,H,H,H
13,H,H,H,H,H,H,H,H,H,H
12,H,H,H,H,H,H,H,H,H,H
