Player Sum,2,3,4,5,6,7,8,9,10,A
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,H,S,S,S,S,S,H
18,S,S,H,S,S,S,S,S,S,S
17,S,S,S,H,S,S,H,S,S,H
16,H,H,S,S,S,H,S,S,H,S
15,H,S,S,H,H,H,S,S,H,S
14,H,H,H,S,H,S,H,H,S,S
13,H,H,H,S,H,H,S,H,S,S
12,S,S,H,S,S,S,H,S,S,S
