Player Sum,2,3,4,5,6,7,8,9,10,A
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,H,H,S,H,S,S,S
17,H,H,S,H,H,S,H,H,S,H
16,H,H,S,H,S,H,H,H,H,H
15,H,H,S,H,H,H,H,H,S,H
14,S,H,S,H,S,H,H,H,S,S
13,H,H,H,H,H,H,H,H,S,H
12,S,H,H,S,H,H,H,S,H,H
