Player Sum,2,3,4,5,6,7,8,9,10,A
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,H
17,S,S,S,S,S,S,H,S,H,S
16,S,S,H,S,H,S,H,H,H,S
15,S,S,H,H,S,H,S,S,S,H
14,S,S,S,S,H,H,S,S,H,H
13,S,H,S,S,S,H,H,S,S,S
12,S,H,S,H,S,H,H,S,H,S
