Player Sum,2,3,4,5,6,7,8,9,10,A
20,H,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,H,S
18,S,S,S,S,S,S,S,S,H,H
17,S,S,S,S,S,S,H,H,S,S
16,H,S,S,H,S,H,S,H,S,H
15,S,H,H,H,H,H,H,H,H,S
14,S,H,H,S,S,H,S,H,S,H
13,H,H,S,H,H,S,H,S,H,H
12,S,S,H,S,S,H,H,S,H,H
