Player Sum,2,3,4,5,6,7,8,9,10,A
20,S,S,H,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,H,S,S,H,S,H,H,S,H
17,H,S,S,S,H,H,H,S,H,H
16,H,H,H,H,H,H,H,H,H,H
15,H,S,H,H,H,H,H,H,H,H
14,H,H,H,H,H,H,H,H,H,H
13,H,H,H,H,H,H,H,H,H,H
12,H,H,H,H,H,H,H,H,H,H
