Configuration,Mean Wins,Mean Losses,Mean Draws,Dealer Advantage
0.1,409.4000,502.9000,87.7000,0.102488
1/k,395.5000,525.9000,78.6000,0.141524
exp/1000,417.1000,500.2000,82.7000,0.090592
exp/10000,424.3000,486.9000,88.8000,0.068701
