Configuration,Mean Wins,Mean Losses,Mean Draws,Dealer Advantage
0.1,419.1000,496.5000,84.4000,0.084535
1/k,383.8000,531.7000,84.5000,0.161551
exp/1000,419.3000,493.5000,87.2000,0.081288
exp/10000,426.0000,489.4000,84.6000,0.069259
