Configuration,Mean Wins,Mean Losses,Mean Draws,Dealer Advantage
0.1,429.3000,489.0000,81.7000,0.065011
1/k,403.8000,512.6000,83.6000,0.118725
exp/1000,420.3000,501.3000,78.4000,0.087891
exp/10000,437.4000,480.9000,81.7000,0.047370
